,Date,Price,Open,High,Low,Change %
294,"Mar 12, 2020",267.66,267.5,267.66,254.99,0.55%
295,"Mar 11, 2020",266.2,264.76,266.2,263.3,-0.07%
296,"Mar 10, 2020",266.39,269.0,269.0,262.54,-0.77%
297,"Mar 09, 2020",268.45,268.0,269.38,265.87,1.10%
298,"Mar 08, 2020",265.54,264.73,265.54,264.08,0.58%
299,"Mar 07, 2020",265.54,264.73,265.54,264.08,0.58%
300,"Mar 06, 2020",265.54,264.73,265.54,264.08,0.58%
301,"Mar 05, 2020",264.01,264.15,264.59,263.39,-0.12%
302,"Mar 04, 2020",264.32,263.65,264.75,263.3,0.15%
303,"Mar 03, 2020",263.93,262.25,263.93,261.96,0.37%
304,"Mar 02, 2020",262.95,263.57,264.02,262.51,-0.68%
305,"Mar 01, 2020",264.76,263.14,265.27,262.93,0.54%
306,"Feb 29, 2020",264.76,263.14,265.27,262.93,0.54%
307,"Feb 28, 2020",264.76,263.14,265.27,262.93,0.54%
308,"Feb 27, 2020",263.35,263.14,263.35,262.72,-0.11%
309,"Feb 26, 2020",263.64,263.9,263.97,263.11,-0.43%
310,"Feb 25, 2020",264.79,263.85,264.94,263.81,0.16%
311,"Feb 24, 2020",264.38,263.47,264.52,263.47,0.63%
312,"Feb 23, 2020",262.73,263.66,263.66,262.65,-0.14%
313,"Feb 22, 2020",262.73,263.66,263.66,262.65,-0.14%
314,"Feb 21, 2020",262.73,263.66,263.66,262.65,-0.14%
315,"Feb 20, 2020",263.1,262.67,263.1,262.0,0.22%
316,"Feb 19, 2020",262.52,263.37,263.52,262.65,-0.32%
317,"Feb 18, 2020",263.37,262.79,263.42,262.72,0.30%
318,"Feb 17, 2020",262.58,262.49,262.58,262.01,0.06%
319,"Feb 16, 2020",262.42,262.0,262.42,261.63,0.27%
320,"Feb 15, 2020",262.42,262.0,262.42,261.63,0.27%
321,"Feb 14, 2020",262.42,262.0,262.42,261.63,0.27%
322,"Feb 13, 2020",261.71,261.11,262.11,261.11,0.38%
323,"Feb 12, 2020",260.72,260.73,260.73,259.94,-0.09%
324,"Feb 11, 2020",260.95,260.41,261.0,260.37,-0.04%
325,"Feb 10, 2020",261.05,260.13,261.05,260.01,0.41%
326,"Feb 09, 2020",259.99,259.5,260.06,259.41,0.50%
327,"Feb 08, 2020",259.99,259.5,260.06,259.41,0.50%
328,"Feb 07, 2020",259.99,259.5,260.06,259.41,0.50%
329,"Feb 06, 2020",258.69,258.33,258.9,257.93,0.05%
330,"Feb 05, 2020",258.55,258.7,258.74,258.05,-0.21%
331,"Feb 04, 2020",259.09,259.55,259.55,258.72,-0.33%
332,"Feb 03, 2020",259.95,259.95,261.99,259.29,0.00%
333,"Feb 02, 2020",259.95,259.46,259.99,259.44,-0.08%
334,"Feb 01, 2020",259.95,259.46,259.99,259.44,-0.08%
335,"Jan 31, 2020",259.95,259.46,259.99,259.44,-0.08%
336,"Jan 30, 2020",260.16,260.0,260.23,259.65,0.13%
337,"Jan 29, 2020",259.81,259.65,259.81,259.27,0.25%
338,"Jan 28, 2020",259.16,259.63,260.1,258.87,-0.18%
339,"Jan 27, 2020",259.62,258.71,259.65,258.71,0.69%
340,"Jan 26, 2020",257.85,257.11,257.93,256.73,0.16%
341,"Jan 25, 2020",257.85,257.11,257.93,256.73,0.16%
342,"Jan 24, 2020",257.85,257.11,257.93,256.73,0.16%
343,"Jan 23, 2020",257.44,256.27,257.51,255.83,0.91%
344,"Jan 22, 2020",255.12,255.0,255.81,254.89,0.09%
345,"Jan 21, 2020",254.89,254.76,255.11,254.13,0.16%
346,"Jan 20, 2020",254.49,254.53,254.72,254.17,-0.02%
347,"Jan 19, 2020",254.53,254.17,254.53,253.89,0.26%
348,"Jan 18, 2020",254.53,254.17,254.53,253.89,0.26%
349,"Jan 17, 2020",254.53,254.17,254.53,253.89,0.26%
350,"Jan 16, 2020",253.87,253.99,253.99,253.59,0.06%
351,"Jan 15, 2020",253.71,254.26,254.26,253.72,-0.05%
352,"Jan 14, 2020",253.83,253.38,253.84,253.31,0.18%
353,"Jan 13, 2020",253.37,254.18,254.18,253.08,-0.39%
354,"Jan 12, 2020",254.35,253.99,254.38,253.97,0.12%
355,"Jan 11, 2020",254.35,253.99,254.38,253.97,0.12%
356,"Jan 10, 2020",254.35,253.99,254.38,253.97,0.12%
357,"Jan 09, 2020",254.05,254.22,254.22,253.55,-0.30%
358,"Jan 08, 2020",254.82,254.8,254.82,254.28,0.18%
359,"Jan 07, 2020",254.36,253.66,254.6,253.63,0.08%
360,"Jan 06, 2020",254.16,254.42,254.42,254.4,-0.38%
361,"Jan 05, 2020",255.12,254.73,255.62,254.41,0.73%
362,"Jan 04, 2020",255.12,254.73,255.62,254.41,0.73%
363,"Jan 03, 2020",255.12,254.73,255.62,254.41,0.73%
364,"Jan 02, 2020",253.28,252.28,253.55,252.02,0.29%
365,"Jan 01, 2020",253.28,252.28,253.55,252.02,0.29%
